,id,rating,release_date_cert
509,41154,PG-13,2012-05-25 00:00:00+00:00
510,41630,R,2011-01-21 00:00:00+00:00
511,87421,R,2013-09-06 00:00:00+00:00
512,67911,R,2011-09-09 00:00:00+00:00
513,45243,R,2011-05-25 00:00:00+00:00
514,50359,PG,2011-04-01 00:00:00+00:00
515,74534,PG-13,2012-05-25 00:00:00+00:00
516,353569,PG-13,2017-03-03 00:00:00+00:00
517,429351,R,2018-01-19 00:00:00+00:00
518,70871,,2011-06-07 00:00:00+00:00
519,70871,,2011-06-07 00:00:00+00:00
520,70871,,2011-06-07 00:00:00+00:00
521,70871,,2011-06-07 00:00:00+00:00
522,62255,R,2010-09-12 00:00:00+00:00
523,38303,PG,2010-09-24 00:00:00+00:00
524,35019,PG,2010-08-20 00:00:00+00:00
525,51209,R,2011-03-11 00:00:00+00:00
526,100241,PG-13,2014-01-24 00:00:00+00:00
527,43418,R,2011-06-28 00:00:00+00:00
528,39210,R,2010-12-22 00:00:00+00:00
529,81390,R,2011-04-09 00:00:00+00:00
530,46829,R,2010-04-01 00:00:00+00:00
531,46829,R,2010-04-01 00:00:00+00:00
532,44113,R,2010-10-22 00:00:00+00:00
533,34851,R,2010-07-03 00:00:00+00:00
534,175541,PG,2013-11-27 00:00:00+00:00
535,60304,R,2013-01-25 00:00:00+00:00
536,76170,PG-13,2013-07-25 00:00:00+00:00
537,51052,PG,2011-11-23 00:00:00+00:00
538,254473,PG-13,2014-04-25 00:00:00+00:00
539,78698,PG,2012-02-03 00:00:00+00:00
540,293660,R,2016-02-12 00:00:00+00:00
541,44009,PG-13,2010-12-29 00:00:00+00:00
542,41283,R,2010-11-23 00:00:00+00:00
543,79694,PG-13,2012-08-24 00:00:00+00:00
544,46195,G,2011-04-15 00:00:00+00:00
545,46195,G,2011-04-15 00:00:00+00:00
546,46195,G,2011-04-15 00:00:00+00:00
547,58151,R,2011-08-19 00:00:00+00:00
548,37950,PG-13,2010-05-01 00:00:00+00:00
549,44833,PG-13,2012-05-18 00:00:00+00:00
550,45156,PG-13,2011-02-03 00:00:00+00:00
551,49020,R,2011-06-03 00:00:00+00:00
