,id,imdb_id,title,budget,release_date,revenue,runtime,original_language,original_title,vote_average,vote_count,poster_path,genres_id,genres_name,spoken_languages_name,production_companies_id,production_companies_name,production_companies_origin_country
2639,150065,tt1504508,Yelling To The Sky,0,2011-03-11,0,94.0,en,Yelling To The Sky,5.3,10,/qfAYPc5ZRnPkPBSZMvepbno8XNC.jpg,[18],['Drama'],['English'],[103152],['YTTS LLC'],['']
2640,38684,tt1229822,Jane Eyre,0,2011-03-11,34710627,120.0,en,Jane Eyre,7.2,918,/o5mTxitBJNy5QtPKLFhuSB6GkzG.jpg,"[18, 10749]","['Drama', 'Romance']","['Français', 'English']","[288, 2054, 10146, 9987]","['BBC Films', 'Ruby Films', 'Focus Features', 'Lipsync Productions']","['GB', '', 'US', 'GB']"
2641,69878,tt1302001,Harvest,0,2011-03-11,0,103.0,en,Harvest,5.0,3,/dVJfhwkzfS2sjFhFWwve448g01S.jpg,[18],['Drama'],['English'],[54369],['Ibid Filmworks'],['US']
2642,85312,tt1413493,Making the Boys,0,2011-03-11,0,90.0,en,Making the Boys,7.0,3,/6AuzCiJ0jFIDRny3XQgGNTTbF6.jpg,[99],['Documentary'],['English'],[],[],[]
2643,59441,tt1509787,A Bag of Hammers,2000000,2011-03-12,0,85.0,en,A Bag of Hammers,6.3,38,/snOTVWsrN7pmgFY99bQLMCkikFt.jpg,"[35, 18]","['Comedy', 'Drama']",['English'],[10146],['Focus Features'],['US']
2644,100416,tt1221207,Demoted,0,2011-03-12,0,94.0,en,Demoted,4.9,26,/wNGTW2aCv78QtarJpCk7hlhISaP.jpg,[35],['Comedy'],['English'],"[5122, 3478]","['Parallel Films', 'FlipZide']","['IE', 'US']"
2645,81484,tt1833652,Becoming Santa,0,2011-03-12,0,0.0,en,Becoming Santa,7.3,6,,"[35, 99]","['Comedy', 'Documentary']",[],[],[],[]
2646,248859,tt1884407,Runnin' Rebels of UNLV,0,2011-03-12,0,58.0,en,Runnin' Rebels of UNLV,7.3,4,,[99],['Documentary'],[],[],[],[]
2647,205818,tt1839464,Eat,0,2011-03-12,0,15.0,en,Eat,8.0,1,,[18],['Drama'],['English'],[4917],['Periscope Entertainment'],['US']
2648,60089,tt1535615,Best Player,0,2011-03-12,0,89.0,en,Best Player,5.6,78,/hIVXQM0X4rawgKa6VFPb84NBqKX.jpg,"[35, 10751]","['Comedy', 'Family']",['English'],[],[],[]
2649,100416,tt1221207,Demoted,0,2011-03-12,0,94.0,en,Demoted,4.9,26,/wNGTW2aCv78QtarJpCk7hlhISaP.jpg,[35],['Comedy'],['English'],"[5122, 3478]","['Parallel Films', 'FlipZide']","['IE', 'US']"
2650,81626,tt1554414,The Dish & the Spoon,0,2011-03-12,0,90.0,en,The Dish & the Spoon,6.3,20,/viRTbuJMIskBJfN8u7qrekQSl4W.jpg,[18],['Drama'],['English'],[],[],[]
2651,94331,tt1703232,Fightville,0,2011-03-12,0,85.0,en,Fightville,6.2,9,/20KhmmbnGnqraLjyy6bnlyVySKh.jpg,[99],['Documentary'],['English'],[],[],[]
2652,128517,tt1696197,Wuss,0,2011-03-12,0,96.0,en,Wuss,5.0,1,,[35],['Comedy'],['English'],[],[],[]
2653,82620,tt1860355,Undefeated,0,2011-03-13,0,113.0,en,Undefeated,7.8,44,/8MF2TC6s9Q6onyWgVWJ9YC689oc.jpg,[99],['Documentary'],['English'],[],[],[]
2654,59439,tt1621426,Natural Selection,0,2011-03-13,55282,90.0,en,Natural Selection,6.4,16,/x5dCdyCYzx8j28S6fMO41YgYLnk.jpg,"[35, 18]","['Comedy', 'Drama']",['English'],[],[],[]
2655,38541,tt1535616,The Divide,3000000,2011-03-13,22000,112.0,en,The Divide,5.8,368,/sfjN76YhJKVonJIDYz8cYGxFcye.jpg,"[27, 878]","['Horror', 'Science Fiction']",['English'],"[11715, 4306, 13362, 34994, 46135, 46136, 46137]","['Manitoba Film and Video Production Tax Credit', 'Instinctive Film', 'Preferred Content', 'Julijette', 'Ink Connection', 'BR Group', 'Manitoba Film & Music']","['', 'DE', '', 'CA', '', 'FR', '']"
2656,283835,tt2082452,The Closet,0,2011-03-13,0,3.0,en,The Closet,5.2,6,,[],[],[],[],[],[]
2657,193287,tt1865524,The Little Match Makers,0,2011-03-13,0,106.0,en,The Little Match Makers,3.3,3,,[],[],[],[],[],[]
2658,85860,tt1296373,The FP,0,2011-03-13,0,82.0,en,The FP,5.1,18,/nmo8R1FpBEsC80qYOaXtx2vMrSa.jpg,[35],['Comedy'],['English'],[10485],['Drafthouse Films'],['US']
2659,239729,tt1966551,Preferably Blue,0,2011-03-13,0,11.0,en,Preferably Blue,6.0,1,/uTAfOH2uq613LXlKF1YDlp0xz7d.jpg,[16],['Animation'],['English'],[],[],[]
2660,75717,tt1663336,Emir,0,2010-06-09,0,135.0,en,Emir,3.3,2,/wzZGWXGzErngInk1cGFyYodByeq.jpg,"[10402, 18]","['Music', 'Drama']",[''],"[57660, 57621, 59713]","['Cultural Center of the Philippines', 'Film Development Council of the Philippines', 'Dreamaker Productions']","['', '', '']"
