tconst,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,release_year
tt0810913,Jack and Jill,Jack and Jill,2011,91.0,Comedy,3.3,71361,11,2011-11-11,Jack and Jill,79000000,74158157,150519217,2011
tt0810922,Take Me Home Tonight,Take Me Home Tonight,2011,97.0,"Comedy,Drama,Romance",6.3,48393,48,2011-03-04,Take Me Home Tonight,19000000,6928068,7576604,2011
tt0814255,Percy Jackson & the Olympians: The Lightning Thief,Percy Jackson & the Olympians: The Lightning Thief,2010,118.0,"Adventure,Family,Fantasy",5.9,165108,17,2010-02-12,Percy Jackson & the Olympians: The Lightning Thief,95000000,88768303,223050874,2010
tt0815236,She's Out of My League,She's Out of My League,2010,104.0,"Comedy,Romance",6.4,117245,62,2010-03-12,She's Out of My League,20000000,32010860,48680977,2010
tt0816442,The Book Thief,The Book Thief,2013,131.0,"Drama,War",7.6,119023,41,2013-11-08,The Book Thief,19000000,21488481,76086711,2013
tt0816462,Conan the Barbarian,Conan the Barbarian,2011,113.0,"Action,Adventure,Fantasy",5.2,90834,76,2011-08-19,Conan the Barbarian,90000000,21295021,63356133,2011
tt0816692,Interstellar,Interstellar,2014,169.0,"Adventure,Drama,Sci-Fi",8.6,1299334,32,2014-11-05,Interstellar,165000000,188017894,666379375,2014
tt0816711,World War Z,World War Z,2013,116.0,"Action,Adventure,Horror",7.0,553751,69,2013-06-21,World War Z,190000000,202359711,531514650,2013
tt0817177,Flipped,Flipped,2010,90.0,"Comedy,Drama,Romance",7.7,74937,22,2010-08-06,Flipped,14000000,1755212,4289993,2010
tt2388050,Flipped,Flipped,2015,90.0,"Drama,Thriller",6.0,440,22,2010-08-06,Flipped,14000000,1755212,4289993,2010
tt0817230,Valentine's Day,Valentine's Day,2010,125.0,"Comedy,Romance",5.7,107171,70,2010-02-12,Valentine's Day,52000000,110485654,217569328,2010
tt0822847,Priest,Priest,2011,87.0,"Action,Adventure,Fantasy",5.7,108320,29,2011-05-13,Priest,60000000,29136626,84154026,2011
tt0829150,Dracula Untold,Dracula Untold,2014,92.0,"Action,Drama,Fantasy",6.3,164829,21,2014-10-10,Dracula Untold,70000000,55991880,220241723,2014
tt0831387,Godzilla,Godzilla,2014,123.0,"Action,Adventure,Sci-Fi",6.4,350687,41,2014-05-16,Godzilla,160000000,200676069,529076069,2014
tt0837562,Hotel Transylvania,Hotel Transylvania,2012,91.0,"Animation,Comedy,Family",7.1,204571,96,2012-09-28,Hotel Transylvania,85000000,148313048,378505812,2012
tt0837563,Pet Sematary,Pet Sematary,2019,101.0,"Horror,Mystery,Thriller",6.0,34472,61,2019-04-05,Pet Sematary,21000000,54724696,109501146,2019
tt0840361,The Town,The Town,2010,125.0,"Crime,Drama,Thriller",7.6,322524,92,2010-09-17,The Town,37000000,92186262,152566881,2010
tt0842926,The Kids Are All Right,The Kids Are All Right,2010,106.0,"Comedy,Drama,Romance",7.0,120656,87,2010-07-09,The Kids Are All Right,4000000,20811365,36275469,2010
tt0848228,The Avengers,The Avengers,2012,143.0,"Action,Adventure,Sci-Fi",8.1,1183655,27,2012-05-04,The Avengers,225000000,623279547,1517935897,2012
tt0848537,Epic,Epic,2013,102.0,"Adventure,Animation,Family",6.7,95318,77,2013-05-24,Epic,100000000,107518682,262794441,2013
tt0850709,Risen,Risen,2010,121.0,"Biography,Drama",5.3,182,48,2016-02-19,Risen,20000000,36880033,46255763,2016
tt3231054,Risen,Risen,2016,107.0,"Action,Adventure,Drama",6.3,22813,48,2016-02-19,Risen,20000000,36880033,46255763,2016
tt0857190,The Sweeney,The Sweeney,2012,112.0,"Action,Crime,Drama",6.1,18095,53,2013-03-01,The Sweeney,4500000,26345,8000366,2013
tt0864835,Mr. Peabody & Sherman,Mr. Peabody & Sherman,2014,92.0,"Adventure,Animation,Comedy",6.8,57277,1,2014-03-07,Mr. Peabody & Sherman,145000000,111506430,269806430,2014
tt0872230,My Soul to Take,My Soul to Take,2010,107.0,"Horror,Mystery,Thriller",4.8,18381,68,2010-10-08,My Soul to Take,25000000,14744435,16727470,2010
tt0873886,Red State,Red State,2011,88.0,"Action,Crime,Horror",6.2,59266,22,2011-09-23,Red State,4000000,1065429,1983596,2011
tt0878835,Please Give,Please Give,2010,87.0,"Comedy,Drama",6.6,10652,15,2010-04-30,Please Give,3000000,4033574,4570178,2010
tt0879870,Eat Pray Love,Eat Pray Love,2010,133.0,"Drama,Romance",5.8,77709,67,2010-08-13,Eat Pray Love,60000000,80574010,206598789,2010
tt0881320,Sanctum,Sanctum,2011,108.0,"Adventure,Drama,Thriller",5.9,51318,45,2011-02-04,Sanctum,30000000,23209310,108957098,2011
tt0882977,Snitch,Snitch,2013,112.0,"Action,Drama,Thriller",6.5,78142,26,2013-02-22,Snitch,15000000,42930462,57907734,2013
tt0882977,Snitch,Snitch,2013,112.0,"Action,Drama,Thriller",6.5,78142,52,2012-12-31,Snitch,850000,0,0,2012
tt0884732,The Wedding Ringer,The Wedding Ringer,2015,101.0,Comedy,6.7,66893,73,2015-01-16,The Wedding Ringer,23000000,64460211,80171596,2015
tt0889573,The Switch,The Switch,2010,101.0,"Comedy,Drama,Romance",6.1,90661,39,2010-08-20,The Switch,19000000,27758465,49858465,2010
