tconst,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,release_datetime,datetime_year
tt2121250,Alpha,Alpha,2013,116.0,Crime,5.5,102.0,79,"Aug 17, 2018",Alpha,51000000,35851379,99624873,2018-08-17,2018
tt3166734,Alpha,Alpha,2015,80.0,"Drama,Horror,Mystery",7.7,37.0,79,"Aug 17, 2018",Alpha,51000000,35851379,99624873,2018-08-17,2018
tt4244998,Alpha,Alpha,2018,96.0,"Adventure,Drama,Family",6.7,41882.0,79,"Aug 17, 2018",Alpha,51000000,35851379,99624873,2018-08-17,2018
tt6313896,Alpha,Alpha,2016,90.0,"Crime,Drama,Fantasy",,,79,"Aug 17, 2018",Alpha,51000000,35851379,99624873,2018-08-17,2018
tt2121286,Home Again,Home Again,2012,104.0,Drama,6.6,360.0,57,"Sep 8, 2017",Home Again,15000000,27020284,37336874,2017-09-08,2017
tt5719700,Home Again,Home Again,2017,97.0,"Comedy,Drama,Romance",5.8,22614.0,57,"Sep 8, 2017",Home Again,15000000,27020284,37336874,2017-09-08,2017
tt2122313,The Circle,Cirkeln,2015,144.0,"Drama,Fantasy,Horror",5.9,2396.0,4,"Apr 28, 2017",The Circle,18000000,20497844,40651864,2017-04-28,2017
tt2786328,The Circle,The Circle,2013,48.0,"Adventure,Documentary,History",7.6,8.0,4,"Apr 28, 2017",The Circle,18000000,20497844,40651864,2017-04-28,2017
tt2943946,The Circle,The Circle,2017,93.0,"Drama,Horror,Thriller",5.1,17.0,4,"Apr 28, 2017",The Circle,18000000,20497844,40651864,2017-04-28,2017
tt3148952,The Circle,Der Kreis,2014,102.0,"Biography,Drama,Romance",7.3,1316.0,4,"Apr 28, 2017",The Circle,18000000,20497844,40651864,2017-04-28,2017
tt4287320,The Circle,The Circle,2017,110.0,"Drama,Sci-Fi,Thriller",5.3,72536.0,4,"Apr 28, 2017",The Circle,18000000,20497844,40651864,2017-04-28,2017
tt6954894,The Circle,The Circle,2017,65.0,Documentary,,,4,"Apr 28, 2017",The Circle,18000000,20497844,40651864,2017-04-28,2017
tt2125430,An American in Hollywood,An American in Hollywood,2014,89.0,Drama,7.3,200.0,70,"Jul 18, 2014",An American in Hollywood,125000,0,0,2014-07-18,2014
tt2125435,Beasts of the Southern Wild,Beasts of the Southern Wild,2012,93.0,"Adventure,Drama,Fantasy",7.3,77440.0,18,"Jun 27, 2012",Beasts of the Southern Wild,1800000,12795746,23265132,2012-06-27,2012
tt2125681,Truth or Dare,Truth or Dare,2013,85.0,"Horror,Romance,Thriller",6.0,14.0,91,"Apr 13, 2018",Truth or Dare,3500000,41411015,95127344,2018-04-13,2018
tt2321661,Truth or Dare,Zhen Xin Hua Da Mao Xian,2012,100.0,"Comedy,Romance",5.0,10.0,91,"Apr 13, 2018",Truth or Dare,3500000,41411015,95127344,2018-04-13,2018
tt2762738,Truth or Dare,Truth or Dare,2013,84.0,"Horror,Thriller",4.8,554.0,91,"Apr 13, 2018",Truth or Dare,3500000,41411015,95127344,2018-04-13,2018
tt5944422,Truth or Dare,Verdad o Reto,2016,90.0,"Drama,Romance",6.8,12.0,91,"Apr 13, 2018",Truth or Dare,3500000,41411015,95127344,2018-04-13,2018
tt6772950,Truth or Dare,Truth or Dare,2018,100.0,"Horror,Thriller",5.2,33621.0,91,"Apr 13, 2018",Truth or Dare,3500000,41411015,95127344,2018-04-13,2018
tt6869948,Truth or Dare,Truth or Dare,2018,92.0,"Comedy,Drama,Romance",,,91,"Apr 13, 2018",Truth or Dare,3500000,41411015,95127344,2018-04-13,2018
tt2126235,Collide,Collide,2016,99.0,"Action,Crime,Thriller",5.7,13288.0,13,"Feb 24, 2017",Collide,29200000,2280004,5466698,2017-02-24,2017
tt2126355,San Andreas,San Andreas,2015,114.0,"Action,Adventure,Drama",6.1,192750.0,19,"May 29, 2015",San Andreas,110000000,155190832,456258539,2015-05-29,2015
tt2126357,Second Act,Second Act,2018,103.0,"Comedy,Drama,Romance",5.8,13109.0,83,"Dec 21, 2018",Second Act,15700000,39282227,63288854,2018-12-21,2018
tt2126400,Unfinished Business,Unfinished Business,2011,107.0,"Drama,Family",,,32,"Mar 6, 2015",Unfinished Business,35000000,10219501,13214051,2015-03-06,2015
